timestamp, available_bikes
1396310460,9.000000
1396310520,9.000000
1396310580,9.000000
1396310640,9.000000
1396310700,9.000000
1396310760,9.000000
1396310820,9.000000
1396310880,9.000000
1396310940,9.000000
1396311000,9.000000
1396311060,9.000000
1396311120,9.000000
1396311180,9.000000
1396311240,9.000000
1396311300,9.000000
1396311360,9.000000
1396311420,9.000000
1396311480,9.000000
1396311540,9.000000
1396311600,None
1396311660,9.000000
1396311720,9.000000
1396311780,9.000000
1396311840,9.000000
1396311900,9.000000
1396311960,9.000000
1396312020,9.000000
1396312080,9.000000
1396312140,9.000000
1396312200,9.000000
1396312260,9.000000
1396312320,9.000000
1396312380,9.000000
1396312440,9.000000
1396312500,None
1396312560,9.000000
1396312620,9.000000
1396312680,9.000000
1396312740,9.000000
1396312800,9.000000
1396312860,9.000000
1396312920,9.000000
1396312980,9.000000
1396313040,9.000000
1396313100,9.000000
1396313160,9.000000
1396313220,9.000000
1396313280,9.000000
1396313340,9.000000
1396313400,8.000000
1396313460,8.000000
1396313520,None
1396313580,8.000000
1396313640,None
1396313700,8.000000
1396313760,8.000000
1396313820,None
1396313880,None
1396313940,None
1396314000,None
1396314060,8.000000
1396314120,8.000000
1396314180,None
1396314240,None
1396314300,8.000000
1396314360,None
1396314420,None
1396314480,8.000000
1396314540,None
1396314600,None
1396314660,None
1396314720,8.000000
1396314780,8.000000
1396314840,8.000000
1396314900,8.000000
1396314960,8.000000
1396315020,8.000000
1396315080,8.000000
1396315140,8.000000
1396315200,8.000000
1396315260,8.000000
1396315320,8.000000
1396315380,8.000000
1396315440,8.000000
1396315500,8.000000
1396315560,8.000000
1396315620,8.000000
1396315680,8.000000
1396315740,None
1396315800,8.000000
1396315860,8.000000
1396315920,8.000000
1396315980,9.000000
1396316040,9.000000
1396316100,9.000000
1396316160,9.000000
1396316220,9.000000
1396316280,9.000000
1396316340,9.000000
1396316400,9.000000
1396316460,9.000000
1396316520,None
1396316580,9.000000
1396316640,9.000000
1396316700,9.000000
1396316760,9.000000
1396316820,9.000000
1396316880,9.000000
1396316940,9.000000
1396317000,9.000000
1396317060,9.000000
1396317120,9.000000
1396317180,9.000000
1396317240,9.000000
1396317300,9.000000
1396317360,9.000000
1396317420,9.000000
1396317480,8.000000
1396317540,8.000000
1396317600,8.000000
1396317660,8.000000
1396317720,8.000000
1396317780,8.000000
1396317840,None
1396317900,8.000000
1396317960,8.000000
1396318020,8.000000
1396318080,9.000000
1396318140,9.000000
1396318200,9.000000
1396318260,9.000000
1396318320,9.000000
1396318380,9.000000
1396318440,9.000000
1396318500,9.000000
1396318560,9.000000
1396318620,9.000000
1396318680,9.000000
1396318740,9.000000
1396318800,9.000000
1396318860,9.000000
