timestamp, available_bikes
1396310460,1.000000
1396310520,1.000000
1396310580,1.000000
1396310640,1.000000
1396310700,1.000000
1396310760,1.000000
1396310820,1.000000
1396310880,2.000000
1396310940,2.000000
1396311000,2.000000
1396311060,2.000000
1396311120,2.000000
1396311180,2.000000
1396311240,2.000000
1396311300,2.000000
1396311360,2.000000
1396311420,2.000000
1396311480,2.000000
1396311540,2.000000
1396311600,None
1396311660,2.000000
1396311720,2.000000
1396311780,2.000000
1396311840,1.000000
1396311900,1.000000
1396311960,1.000000
1396312020,1.000000
1396312080,1.000000
1396312140,1.000000
1396312200,1.000000
1396312260,1.000000
1396312320,1.000000
1396312380,2.000000
1396312440,2.000000
1396312500,None
1396312560,2.000000
1396312620,2.000000
1396312680,2.000000
1396312740,1.000000
1396312800,1.000000
1396312860,1.000000
1396312920,1.000000
1396312980,1.000000
1396313040,1.000000
1396313100,1.000000
1396313160,1.000000
1396313220,1.000000
1396313280,1.000000
1396313340,1.000000
1396313400,1.000000
1396313460,1.000000
1396313520,None
1396313580,1.000000
1396313640,None
1396313700,1.000000
1396313760,1.000000
1396313820,None
1396313880,None
1396313940,None
1396314000,None
1396314060,1.000000
1396314120,1.000000
1396314180,None
1396314240,None
1396314300,1.000000
1396314360,None
1396314420,None
1396314480,1.000000
1396314540,None
1396314600,None
1396314660,None
1396314720,1.000000
1396314780,1.000000
1396314840,1.000000
1396314900,1.000000
1396314960,1.000000
1396315020,1.000000
1396315080,3.000000
1396315140,4.000000
1396315200,2.000000
1396315260,2.000000
1396315320,2.000000
1396315380,2.000000
1396315440,2.000000
1396315500,2.000000
1396315560,2.000000
1396315620,2.000000
1396315680,2.000000
1396315740,None
1396315800,2.000000
1396315860,3.000000
1396315920,3.000000
1396315980,3.000000
1396316040,3.000000
1396316100,3.000000
1396316160,3.000000
1396316220,3.000000
1396316280,3.000000
1396316340,4.000000
1396316400,4.000000
1396316460,4.000000
1396316520,None
1396316580,4.000000
1396316640,4.000000
1396316700,4.000000
1396316760,4.000000
1396316820,3.000000
1396316880,3.000000
1396316940,3.000000
1396317000,3.000000
1396317060,3.000000
1396317120,2.000000
1396317180,2.000000
1396317240,2.000000
1396317300,2.000000
1396317360,2.000000
1396317420,2.000000
1396317480,2.000000
1396317540,2.000000
1396317600,2.000000
1396317660,2.000000
1396317720,2.000000
1396317780,2.000000
1396317840,None
1396317900,1.000000
1396317960,1.000000
1396318020,1.000000
1396318080,1.000000
1396318140,1.000000
1396318200,1.000000
1396318260,1.000000
1396318320,1.000000
1396318380,1.000000
1396318440,1.000000
1396318500,1.000000
1396318560,1.000000
1396318620,1.000000
1396318680,1.000000
1396318740,1.000000
1396318800,1.000000
1396318860,1.000000
1396318920,1.000000
1396318980,1.000000
1396319040,1.000000
1396319100,1.000000
1396319160,1.000000
1396319220,1.000000
1396319280,1.000000
1396319340,1.000000
1396319400,1.000000
1396319460,1.000000
1396319520,1.000000
1396319580,1.000000
1396319640,1.000000
1396319700,1.000000
1396319760,1.000000
1396319820,1.000000
1396319880,1.000000
1396319940,1.000000
1396320000,1.000000
1396320060,1.000000
1396320120,1.000000
1396320180,1.000000
1396320240,1.000000
1396320300,1.000000
1396320360,1.000000
1396320420,1.000000
1396320480,1.000000
1396320540,1.000000
1396320600,1.000000
1396320660,1.000000
1396320720,1.000000
1396320780,1.000000
1396320840,1.000000
1396320900,None
1396320960,1.000000
1396321020,1.000000
1396321080,1.000000
1396321140,1.000000
1396321200,1.000000
1396321260,1.000000
1396321320,1.000000
1396321380,1.000000
1396321440,1.000000
1396321500,1.000000
1396321560,1.000000
1396321620,1.000000
1396321680,1.000000
1396321740,1.000000
1396321800,1.000000
1396321860,1.000000
1396321920,1.000000
1396321980,1.000000
1396322040,1.000000
1396322100,1.000000
1396322160,1.000000
1396322220,1.000000
1396322280,1.000000
1396322340,1.000000
1396322400,1.000000
1396322460,None
1396322520,None
1396322580,1.000000
1396322640,1.000000
1396322700,1.000000
1396322760,1.000000
1396322820,1.000000
1396322880,None
1396322940,1.000000
1396323000,1.000000
1396323060,1.000000
1396323120,1.000000
1396323180,1.000000
1396323240,1.000000
1396323300,None
1396323360,1.000000
1396323420,1.000000
1396323480,1.000000
1396323540,1.000000
1396323600,1.000000
1396323660,1.000000
1396323720,1.000000
1396323780,1.000000
1396323840,1.000000
1396323900,1.000000
1396323960,1.000000
1396324020,1.000000
1396324080,1.000000
1396324140,1.000000
1396324200,1.000000
1396324260,None
1396324320,1.000000
1396324380,1.000000
1396324440,1.000000
1396324500,1.000000
1396324560,1.000000
1396324620,1.000000
1396324680,1.000000
1396324740,1.000000
1396324800,1.000000
1396324860,1.000000
1396324920,1.000000
1396324980,1.000000
1396325040,1.000000
1396325100,1.000000
1396325160,1.000000
1396325220,1.000000
1396325280,1.000000
1396325340,1.000000
1396325400,1.000000
1396325460,1.000000
1396325520,1.000000
1396325580,1.000000
1396325640,1.000000
1396325700,1.000000
1396325760,1.000000
1396325820,1.000000
1396325880,1.000000
1396325940,1.000000
1396326000,1.000000
1396326060,1.000000
1396326120,1.000000
1396326180,1.000000
1396326240,1.000000
1396326300,1.000000
1396326360,1.000000
1396326420,1.000000
1396326480,1.000000
1396326540,1.000000
1396326600,1.000000
1396326660,1.000000
1396326720,1.000000
1396326780,1.000000
1396326840,1.000000
1396326900,1.000000
1396326960,1.000000
1396327020,1.000000
1396327080,1.000000
1396327140,1.000000
1396327200,1.000000
1396327260,1.000000
1396327320,1.000000
1396327380,1.000000
1396327440,1.000000
1396327500,1.000000
1396327560,1.000000
1396327620,1.000000
1396327680,1.000000
1396327740,1.000000
1396327800,1.000000
1396327860,1.000000
1396327920,1.000000
1396327980,1.000000
1396328040,1.000000
1396328100,1.000000
1396328160,1.000000
1396328220,1.000000
1396328280,1.000000
1396328340,None
1396328400,1.000000
1396328460,1.000000
1396328520,1.000000
1396328580,1.000000
1396328640,1.000000
1396328700,1.000000
1396328760,None
1396328820,1.000000
1396328880,1.000000
1396328940,1.000000
1396329000,1.000000
1396329060,1.000000
1396329120,1.000000
1396329180,None
1396329240,1.000000
1396329300,1.000000
1396329360,1.000000
1396329420,1.000000
1396329480,1.000000
1396329540,1.000000
1396329600,1.000000
1396329660,1.000000
1396329720,1.000000
1396329780,None
1396329840,1.000000
1396329900,1.000000
1396329960,1.000000
1396330020,1.000000
1396330080,1.000000
1396330140,1.000000
1396330200,1.000000
1396330260,1.000000
1396330320,1.000000
1396330380,1.000000
1396330440,1.000000
1396330500,1.000000
1396330560,1.000000
1396330620,1.000000
1396330680,1.000000
1396330740,1.000000
1396330800,1.000000
1396330860,1.000000
1396330920,1.000000
1396330980,1.000000
1396331040,1.000000
1396331100,1.000000
1396331160,1.000000
1396331220,1.000000
1396331280,1.000000
1396331340,1.000000
1396331400,1.000000
1396331460,1.000000
1396331520,1.000000
1396331580,1.000000
1396331640,1.000000
1396331700,1.000000
1396331760,1.000000
1396331820,1.000000
1396331880,1.000000
1396331940,1.000000
1396332000,1.000000
1396332060,1.000000
1396332120,1.000000
1396332180,1.000000
1396332240,1.000000
1396332300,1.000000
1396332360,1.000000
1396332420,1.000000
1396332480,1.000000
1396332540,None
1396332600,1.000000
1396332660,None
1396332720,1.000000
1396332780,1.000000
1396332840,1.000000
1396332900,None
1396332960,1.000000
1396333020,1.000000
1396333080,1.000000
1396333140,1.000000
1396333200,1.000000
1396333260,1.000000
1396333320,None
1396333380,1.000000
1396333440,1.000000
1396333500,None
1396333560,1.000000
1396333620,1.000000
1396333680,None
1396333740,1.000000
1396333800,1.000000
1396333860,1.000000
1396333920,1.000000
1396333980,1.000000
1396334040,1.000000
1396334100,1.000000
1396334160,1.000000
1396334220,1.000000
1396334280,1.000000
1396334340,1.000000
1396334400,1.000000
1396334460,1.000000
1396334520,None
1396334580,1.000000
1396334640,1.000000
1396334700,1.000000
1396334760,None
1396334820,1.000000
1396334880,1.000000
1396334940,1.000000
1396335000,1.000000
1396335060,1.000000
1396335120,1.000000
1396335180,None
